date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:37	493521/493521	---MCZ	200	added ('OK')	text/html	etag:%226cdtr0paqtak6z%22	https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/	C:/Meus%20Sites/ss/m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/index.html	(from )
19:47:37	183/183	---MCZ	200	added ('OK')	text/plain	etag:W/%2217d-1932d9648a0%22	https://m.magazineluiza.com.br/robots.txt		(from )
19:47:37	771/771	---M--	200	added ('OK')	image/png	etag:%227053ac1d9a606959a4dc68f3298a772a35697190%22	https://site-content.magazineluiza.com.br/static/img/default/favicon-cc4cf323.png	C:/Meus%20Sites/ss/site-content.magazineluiza.com.br/static/img/default/favicon-cc4cf323.png	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:37	3571/3571	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:36%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/bb29edd5ceef484b6b327ea331f3ad57.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/bb29edd5ceef484b6b327ea331f3ad57.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Nov%202024%2022:47:37%20GMT	https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/location.origin	C:/Meus%20Sites/ss/m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/location.origin	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2029%20Nov%202024%2022:47:37%20GMT	https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/mapped	C:/Meus%20Sites/ss/m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/mapped	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:38	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:40	4391/4391	---MCZ	200	added ('OK')	application/javascript	etag:W/%220228e0d5b696b58ae4fb031ca2f1f6a6%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/webpack-062f7281918de0f7.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/webpack-062f7281918de0f7.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:40	140053/140053	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253b3fa8eddc0a69b8473a362d7a8525f%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/framework-e9a55104781b9fa1.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/framework-e9a55104781b9fa1.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:42	125864/125864	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f71c7c07a32bf335642e77de94bffef8%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/main-611b0c812691e262.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/main-611b0c812691e262.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
