date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:42	710762/710762	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241bb01798aadcfc6cbb8ec08b87912e1%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/pages/_app-d119b53b6f4a73ae.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/pages/_app-d119b53b6f4a73ae.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:42	325141/325141	---MCZ	200	added ('OK')	application/javascript	etag:W/%220227161117a19662a4903c84aaffe109%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/5cd80cbc-63cf6b2b2b7d68ec.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/5cd80cbc-63cf6b2b2b7d68ec.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:43	11419/11419	---MCZ	200	added ('OK')	application/javascript	etag:W/%2287aa63a3b020abf8c8163464b6ea24a0%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9091-9af37e54064aebcf.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9091-9af37e54064aebcf.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:43	26026/26026	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ef2a32456b2f778dea6e2214308d91%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6385-6dae6c8bd61608dd.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6385-6dae6c8bd61608dd.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:43	89945/89945	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dbaa06c0fb3213fdbdbd050e65882f32%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/1605-b319d0d8c335ec0f.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/1605-b319d0d8c335ec0f.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:43	76954/76954	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be0fbd173bdc107814b56459ab162f29%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/8670-4180ef746c76c239.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/8670-4180ef746c76c239.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:44	137151/137151	---MCZ	200	added ('OK')	application/javascript	etag:W/%222cedff19e92cc6bbc9a33b3023dbac2d%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6954-49b54b4bf11f8397.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6954-49b54b4bf11f8397.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:44	40299/40299	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ae247163e505f94fdae0abc7d351de4c%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/3226-2c56d2fe4b492f03.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/3226-2c56d2fe4b492f03.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:44	8097/8097	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e92e4a4128283fccec1d79eb83baf7b6%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/7713-2d2d3a841018ee8d.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/7713-2d2d3a841018ee8d.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:45	38413/38413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299ca278c7892688ec9fb10426290468c%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/8145-f522fdd211f80cbe.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/8145-f522fdd211f80cbe.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:45	18904/18904	---MCZ	200	added ('OK')	application/javascript	etag:W/%221ce32f9dd89387345314541192474298%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/3808-1c6299296b2f9a11.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/3808-1c6299296b2f9a11.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:45	4769/4769	---MCZ	200	added ('OK')	application/javascript	etag:W/%221312ceb80700753ecefbb11f68538474%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9757-401253e11ddb3ad6.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9757-401253e11ddb3ad6.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:45	28385/28385	---MCZ	200	added ('OK')	application/javascript	etag:W/%227764c44a2c0638ab4f46b7bec1c7c855%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/7576-9c29ff95d028bfaf.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/7576-9c29ff95d028bfaf.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:45	20858/20858	---MCZ	200	added ('OK')	application/javascript	etag:W/%22140eba9f90ff6b26a598a13cceb32612%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9881-2a44dfe3f98afb3d.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/9881-2a44dfe3f98afb3d.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:46	4446/4446	---MCZ	200	added ('OK')	application/javascript	etag:W/%2278f41d8f5bd5028b72c540580e60778c%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/1990-d82b7c2eeb70ebd9.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/1990-d82b7c2eeb70ebd9.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:46	123642/123642	---MCZ	200	added ('OK')	application/javascript	etag:W/%227855e4361d5d238f3a751b535ad36856%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6199-90e6880eecbf6756.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/6199-90e6880eecbf6756.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:46	2353/2353	---MCZ	200	added ('OK')	application/javascript	etag:W/%22630b3333321e1fef694f59d48d25274f%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/474-265b0b7a7b1ac650.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/474-265b0b7a7b1ac650.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:47	64440/64440	---MCZ	200	added ('OK')	application/javascript	etag:W/%221824ac92cf4a5f4c1c9b5717296f2a62%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/pages/%5Bpath0%5D/p/%5Bpath2%5D/%5Bpath3%5D/%5Bpath4%5D-4b31154498b787c9.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/chunks/pages/[path0]/p/[path2]/[path3]/[path4]-4b31154498b787c9.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:47	2093/2093	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d017020b71bc979c9df578612c0bef47%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/fLDl1ye7nvTCxVCpH7OUo/_buildManifest.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/fLDl1ye7nvTCxVCpH7OUo/_buildManifest.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:47	139/139	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ef42dc0e51df3d74965ae7d6dd68f2f0%22	https://wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/fLDl1ye7nvTCxVCpH7OUo/_ssgManifest.js	C:/Meus%20Sites/ss/wx.mlcdn.com.br/mixer-web/static/v1.67.1/_next/static/fLDl1ye7nvTCxVCpH7OUo/_ssgManifest.js	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:47	18893/18893	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:46%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/cefe57a9b5749c08f95fc3d61831dc9a.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/cefe57a9b5749c08f95fc3d61831dc9a.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:47	18230/18230	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:47%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/1147f51713d3c75a2b2808df54190735.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/1147f51713d3c75a2b2808df54190735.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:48	24048/24048	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:47%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/db273d75bf5b6f077373f67d8ca101a3.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/db273d75bf5b6f077373f67d8ca101a3.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:48	14460/14460	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:47%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/e1edd7738dc48384e4188dc1a705ada4.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/e1edd7738dc48384e4188dc1a705ada4.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:48	10120/10120	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:47%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/27c269c9afb75fc40261cfd5baa697d2.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/27c269c9afb75fc40261cfd5baa697d2.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:48	3690/3690	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:47%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/c22f63e2002c2ffbe954a7b3569ec96c.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/c22f63e2002c2ffbe954a7b3569ec96c.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:49	10373/10373	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:48%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/af1bd1f258970c6f9993727be35b3576.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/af1bd1f258970c6f9993727be35b3576.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:49	15937/15937	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:48%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/e1f5661dcfb2b9186e33fe0f3a39d6f4.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/e1f5661dcfb2b9186e33fe0f3a39d6f4.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:49	8856/8856	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:48%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/027c908eeaaeb25c1462291c64c542f0.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/027c908eeaaeb25c1462291c64c542f0.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:49	8071/8071	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:48%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/5ddb3b3b684c6c15b6c53c8566d3d627.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/5ddb3b3b684c6c15b6c53c8566d3d627.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:49	11903/11903	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:49%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/54ba093f8147617daf4f72a7f0091bd5.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/54ba093f8147617daf4f72a7f0091bd5.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:50	16748/16748	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:49%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/fad0bf2b6ac46c5f5ad2b6a7197886b4.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/fad0bf2b6ac46c5f5ad2b6a7197886b4.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:50	10936/10936	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:49%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/f01a908f3263bba0f63ea2cac1a3853b.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/f01a908f3263bba0f63ea2cac1a3853b.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
19:47:50	10812/10812	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2022:47:49%20GMT	https://a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/1bc8f26763ef7894158e73c86090f6f8.jpg	C:/Meus%20Sites/ss/a-static.mlcdn.com.br/420x420/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/magazineluiza/013085501/1bc8f26763ef7894158e73c86090f6f8.jpg	(from https://m.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-com-compartimento-extrafrio-fresh-zone-brm44hb/p/013085501/ed/ref2/)
